Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
11.509,0,8.563729,1641.75,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1671.4037,-10.152641,0,0,9.245465,29.577114,0,0,45.058075,-92.954666,996.9473
11.760,0,8.268428,1649,0,1.042524,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-10.297679,0,0,9.4986,30.253319,0,0,45.058075,-92.954666,996.9473
12.010,0,8.268428,1648,0,1.033263,29.234798,55.4,0,60.8,62.6,0,1674.3567,1683.2157,-10.297679,0,0,9.414222,30.002766,0,0,45.058075,-92.954666,998.1382
12.260,0,8.268428,1647.25,0,1.024002,29.234798,55.4,0,60.8,62.6,0,1674.3567,1718.6519,-10.297679,0,0,9.3298435,29.747393,0,0,45.058075,-92.954666,998.1382
12.510,0,8.268428,1642.75,0,1.033263,29.234798,55.4,0,60.8,62.6,0,1674.3567,1677.3097,-10.297679,0,0,9.414222,30.09865,0,0,45.058075,-92.954666,998.1382
12.761,0,8.268428,1636.75,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.297679,0,0,9.245465,29.667467,0,0,45.058075,-92.954666,998.1382
13.010,0,8.268428,1630.5,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1653.6855,-10.297679,0,0,9.245465,29.781189,0,0,45.058075,-92.954666,1001.1069
13.260,0,7.973127,1622.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1659.5917,-10.442718,0,0,9.173141,29.698488,0,0,45.058075,-92.954666,1001.1069
13.514,0,8.268428,1617.75,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1692.0747,-10.297679,0,0,9.245465,30.015903,0,0,45.058075,-92.954666,1001.1069
13.770,0,7.973127,1614.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1609.3905,-10.442718,0,0,9.173141,29.845669,0,0,45.058075,-92.954666,1001.1069
14.011,0,8.268428,1604.25,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1633.0145,-10.297679,0,0,9.076708,29.716003,0,0,45.058075,-92.95467,1002.06384
14.264,0,7.973127,1600,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1647.7795,-10.442718,0,0,9.004384,29.557526,0,0,45.058075,-92.95467,1002.06384
14.511,0,7.973127,1594.75,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1668.4507,-10.442718,0,0,9.004384,29.65483,0,0,45.058075,-92.95467,1002.06384
14.763,0,7.973127,1589.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1668.4507,-10.442718,0,0,9.076708,29.991756,0,0,45.058075,-92.95467,1002.06384
15.011,0,8.268428,1590.25,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-10.297679,0,0,9.076708,29.977612,0,0,45.05808,-92.95467,1004.3014
15.262,0,7.973127,1589.5,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.442718,0,0,9.173141,30.310394,0,0,45.05808,-92.95467,1004.3014
15.512,0,7.973127,1590,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1715.6989,-10.442718,0,0,9.245465,30.539766,0,0,45.05808,-92.95467,1004.3014
15.768,0,8.268428,1592.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1650.7325,-10.297679,0,0,9.076708,29.93056,0,0,45.05808,-92.95467,1004.3014
