Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
75.999,35.748047,22.745098,98.6,9.744933,1322.5,21.747992,5.490196,64.4,5.490196,82.4,66.2,0.72143257,-9.862566,8.341411,33.12668,0.17001319,8.792503,45.057137,-92.957054
77.001,35.748047,22.745098,98.6,9.744933,1322.5,21.747992,5.490196,64.4,5.490196,82.4,66.2,0.72143257,-9.862566,8.341411,33.12668,0.17001319,8.792503,45.057137,-92.957184
77.997,13.7006035,31.764706,98.6,17.127459,1824,21.126621,6.27451,64.4,0,82.4,66.2,1.3067551,-6.236623,21.142824,60.87966,0.17427991,8.871066,45.057133,-92.95731
79.013,13.7006035,31.764706,98.6,17.127459,1824,21.126621,6.27451,64.4,0,82.4,66.2,1.3067551,-6.236623,21.142824,60.87966,0.17427991,8.871066,45.05713,-92.95744
80.007,13.7006035,31.764706,98.6,17.127459,1824,21.126621,6.27451,64.4,0,82.4,66.2,1.3067551,-6.236623,21.142824,60.87966,0.17427991,8.871066,45.057117,-92.95757
80.995,33.950485,20,98.6,8.85903,1489.75,22.369364,5.490196,64.4,1.9607843,86,66.2,0.9322161,-10.297679,9.034004,31.849379,0.18529016,9.252876,45.057106,-92.9577
82.003,33.950485,20,98.6,8.85903,1489.75,22.369364,5.490196,64.4,1.9607843,86,66.2,0.9322161,-10.297679,9.034004,31.849379,0.18529016,9.252876,45.057095,-92.95783
83.002,33.950485,20,98.6,8.85903,1489.75,22.369364,5.490196,64.4,1.9607843,86,66.2,0.9322161,-10.297679,9.034004,31.849379,0.18529016,9.252876,45.05708,-92.95795
83.997,38.787254,24.705883,98.6,10.335535,1325,22.369364,5.490196,64.4,0,86,66.2,0.88828427,-9.572491,7.907464,31.344072,0.20599504,10.026411,45.057056,-92.95806
84.997,38.787254,24.705883,98.6,10.335535,1325,22.369364,5.490196,64.4,0,86,66.2,0.88828427,-9.572491,7.907464,31.344072,0.20599504,10.026411,45.057037,-92.95816
86.001,38.787254,24.705883,98.6,10.335535,1325,22.369364,5.490196,64.4,0,86,66.2,0.88828427,-9.572491,7.907464,31.344072,0.20599504,10.026411,45.05702,-92.95825
86.996,34.55913,19.607843,98.6,8.268428,1401.25,19.262506,5.098039,64.4,0,86,66.2,0.6320398,-10.587755,7.642275,28.644491,0.21922871,10.47842,45.057007,-92.95832
