Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
121.011,3.130279,23.033478,4028.5,42.87461,9.411765,96.8,0,98.6,5.198996,-3.1908302,187.7975,244.83896,0.5998633,7.47461,0,44.86424,-93.34963,270
122.007,3.130279,23.033478,4028.5,42.87461,9.411765,96.8,0,98.6,5.198996,-3.1908302,187.7975,244.83896,0.5998633,7.47461,0,44.86424,-93.34987,270
123.005,47.227787,5.90602,2924,44.117355,5.882353,96.8,0,98.6,1.3725997,-11.603019,12.808094,23.006006,0.6215558,7.700257,0,44.86424,-93.350105,269.64755
124.006,72.66065,5.610719,2241,41.010498,4.7058825,95,0,98.6,0.94645834,-11.748056,7.7387075,18.136799,0.6400216,7.9039073,0,44.86424,-93.35032,270
125.008,72.66065,5.610719,2241,41.010498,4.7058825,95,0,98.6,0.94645834,-11.748056,7.7387075,18.136799,0.6400216,7.9039073,0,44.86424,-93.350525,270
125.998,87.606316,5.90602,1775.75,36.6609,3.9215686,95,0,98.6,0.7635586,-11.603019,5.7377334,16.97042,0.6572474,8.098034,0,44.86424,-93.35072,270
127.001,105.26659,5.020117,1644.75,34.796787,3.5294118,95,0,98.6,0.5142819,-12.038133,4.532327,14.472896,0.66955256,8.237138,0,44.86424,-93.350914,270.6797
127.987,104.864975,5.020117,1520.25,31.06856,3.5294118,95,0,98.6,0.4763425,-12.038133,4.0622187,14.034029,0.68298084,8.388621,0,44.86424,-93.351074,270.8521
129.004,104.864975,5.020117,1520.25,31.06856,3.5294118,95,0,98.6,0.4763425,-12.038133,4.0622187,14.034029,0.68298084,8.388621,0,44.864243,-93.35123,270.63214
129.997,104.864975,5.020117,1520.25,31.06856,3.5294118,95,0,98.6,0.4763425,-12.038133,4.0622187,14.034029,0.68298084,8.388621,0,44.864243,-93.35136,270.63214
130.995,98.72622,4.724816,1492.75,27.340332,3.5294118,95,0,98.6,0.41438642,-12.18317,3.7970293,13.359523,0.69252574,8.495807,0,44.864326,-93.35147,286.48737
131.999,98.72622,4.724816,1492.75,27.340332,3.5294118,95,0,98.6,0.41438642,-12.18317,3.7970293,13.359523,0.69252574,8.495807,0,44.864372,-93.35157,297.44016
132.996,83.012245,5.315418,1392,21.747992,3.137255,95,0,98.6,0.45775184,-11.893094,3.5921102,13.553283,0.7071264,8.656483,0,44.86443,-93.35165,311.42316
133.995,83.012245,5.315418,1392,21.747992,3.137255,95,0,98.6,0.45775184,-11.893094,3.5921102,13.553283,0.7071264,8.656483,0,44.864502,-93.35171,322.76324
135.006,42.513683,17.71806,1675,19.883879,12.54902,95,4.3137255,98.6,1.4228562,-5.8015094,6.4127607,20.107788,0.7176731,8.757681,0,44.864582,-93.35175,337.41043
136.007,42.513683,17.71806,1675,19.883879,12.54902,95,4.3137255,98.6,1.4228562,-5.8015094,6.4127607,20.107788,0.7176731,8.757681,0,44.864677,-93.351776,342.54193
136.996,16.550179,17.422758,1631.25,21.126621,4.7058825,95,0.78431374,98.6,1.6835939,-5.946547,17.502497,56.352547,0.72893465,8.823476,0,44.864765,-93.351746,2.945977
137.989,65.00732,5.90602,1455.75,22.369364,9.019608,95,0,100.4,0.5558032,-11.603019,4.718066,17.022028,0.7411167,8.951973,0,44.864857,-93.35173,10.040824
139.008,65.00732,5.90602,1455.75,22.369364,9.019608,95,0,100.4,0.5558032,-11.603019,4.718066,17.022028,0.7411167,8.951973,0,44.86494,-93.35169,18.026329
140.015,46.92397,6.791923,1560,22.369364,8.235294,95,0,100.4,0.5704074,-11.167906,6.5362935,22.005995,0.75115347,9.0492115,0,44.865017,-93.35162,31.30478
140.991,46.516342,6.791923,1445.25,22.369364,3.9215686,95,0,100.4,0.61125576,-11.167906,6.5935717,23.96138,0.7613412,9.147598,0,44.86508,-93.35154,41.15122
141.994,46.516342,6.791923,1445.25,22.369364,3.9215686,95,0,100.4,0.61125576,-11.167906,6.5935717,23.96138,0.7613412,9.147598,0,44.865135,-93.35145,50.175385
142.993,33.161926,15.650953,1762.5,21.747992,36.862743,95,0,100.4,1.3049365,-6.816774,8.991912,26.795198,0.7710091,9.231515,0,44.865173,-93.35134,65.50614
