# StartTime = 08/08/2024 06:11:38.1792 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
130.871,21.62482,21.261671,1959.5,45.360096,29.5301,962.96,7.0588236,68,3.137255,68,0,1.974213,-4.0610566,-0.44410715,28.760345,77.08731,0.6720526,10.921507,45.053482,-92.96576,229.7496
131.855,76.18198,19.194565,1717.5,45.360096,29.5301,965.48,14.117647,68,8.235294,68,0,2.1698472,-5.0763206,-0.44410715,8.163838,24.965008,0.6820707,11.06062,45.05336,-92.96596,229.84048
132.856,76.18198,19.194565,1717.5,45.360096,29.5301,965.48,14.117647,68,8.235294,68,0,2.1698472,-5.0763206,-0.44410715,8.163838,24.965008,0.6820707,11.06062,45.05324,-92.966156,229.75089
133.856,20.248154,23.62408,2071.25,45.360096,29.5301,969.62,6.6666665,68,7.0588236,68,0,2.340762,-2.9007547,-2.731848E-16,30.715755,77.8866,0.69599956,11.158113,45.05312,-92.966354,229.75206
134.864,20.248154,23.62408,2071.25,45.360096,29.5301,969.62,6.6666665,68,7.0588236,68,0,2.340762,-2.9007547,-2.731848E-16,30.715755,77.8866,0.69599956,11.158113,45.052998,-92.966545,229.75458
135.870,33.864212,10.630836,1518.75,45.360096,29.5301,973.4,12.54902,68,0,68,0,1.2702978,-9.282415,-2.731848E-16,18.365622,63.511654,0.71247894,11.324152,45.052883,-92.96674,229.75458
136.877,33.864212,10.630836,1518.75,45.360096,29.5301,973.4,12.54902,68,0,68,0,1.2702978,-9.282415,-2.731848E-16,18.365622,63.511654,0.71247894,11.324152,45.05277,-92.966934,229.89178
137.850,24.91121,23.033478,1891,44.738728,29.5301,978.26,10.196078,68,0,68,0,2.0181406,-3.1908302,-0.21327682,24.624163,68.39179,0.7390305,11.555489,45.05265,-92.967125,229.92918
138.868,32.864513,20.966372,1790.25,44.117355,29.5301,979.88,9.803922,68,0,68,0,2.2872856,-4.2060943,-0.4396153,18.40581,53.997707,0.7637023,11.809805,45.052536,-92.967316,229.89458
139.872,53.24324,23.033478,1886,44.117355,29.5301,981.5,12.941176,68,7.0588236,68,0,2.3789144,-3.1908302,-0.22633848,11.361029,31.638073,0.7755386,11.950643,45.05242,-92.96751,229.88889
140.879,28.182352,15.355652,1818,44.117355,29.5301,983.48,10.196078,68,3.137255,68,0,1.6707658,-6.9618115,-2.731848E-16,21.463715,62.00762,0.7888535,12.069056,45.052307,-92.967705,229.867
141.866,53.958885,11.81204,1526.75,43.495983,29.5301,986,14.117647,68,7.8431373,68,0,1.2388662,-8.702264,-0.45177802,11.052457,38.021126,0.80103993,12.213314,45.052197,-92.967896,229.867
142.852,20.079443,21.261671,1986.5,43.495983,29.5301,987.8,7.45098,68,6.6666665,68,0,1.8727118,-4.0610566,-0.45177802,29.700935,78.52639,0.81540006,12.302533,45.052082,-92.96809,229.867
143.849,15.109969,26.28179,2166.75,43.495983,29.5301,989.96,16.862745,68,10.588235,68,0,3.0119593,-1.5954151,-2.731848E-16,39.469193,95.6717,0.8274886,12.330361,45.051968,-92.96828,229.867
144.870,14.119255,28.053595,2285.25,43.495983,29.5301,992.84,11.764706,68,0,68,0,3.5067348,-0.7251887,-2.731848E-16,42.23865,97.07567,0.83829224,12.350466,45.051853,-92.96847,230.21165
145.870,53.23678,21.852274,1925.75,44.117355,29.5301,994.28,14.509804,68,9.411765,68,0,2.8809516,-3.770981,0.48257026,11.362408,30.988783,0.84986395,12.482932,45.05174,-92.96865,230.71144
146.854,17.170534,25.986488,2181,43.495983,29.5301,999.32,18.431372,68,10.196078,68,0,2.887042,-1.7404529,-0.016166218,34.732655,83.64046,0.8609029,12.521046,45.051624,-92.96885,231.72563
147.862,14.885611,30.711304,1899.5,43.495983,29.5301,1001.12,9.411765,68,8.235294,68,0,3.8641994,0.58015096,-0.49873647,40.064075,110.77708,0.87297624,12.556482,45.051517,-92.96905,232.34583
148.865,14.885611,30.711304,1899.5,43.495983,29.5301,1001.12,9.411765,68,8.235294,68,0,3.8641994,0.58015096,-0.49873647,40.064075,110.77708,0.87297624,12.556482,45.051426,-92.96928,235.09758
149.861,13.935684,31.006605,1601,44.117355,29.5301,1005.8,65.09804,68,11.372549,68,0,3.3978102,0.7251887,0.43338743,43.406403,142.3956,0.8858612,12.56436,45.051308,-92.96945,235.09784
150.865,13.935684,31.006605,1601,44.117355,29.5301,1005.8,65.09804,68,11.372549,68,0,3.3978102,0.7251887,0.43338743,43.406403,142.3956,0.8858612,12.56436,45.051212,-92.969666,237.81055
151.860,12.951593,36.617325,1727,44.117355,29.234798,1010.3,65.882355,68,11.764706,68,0,3.3820775,3.4809058,0.43338743,46.70452,142.03673,0.90867996,12.555693,45.05112,-92.96988,239.70343
152.861,12.951593,36.617325,1727,44.117355,29.234798,1010.3,65.882355,68,11.764706,68,0,3.3820775,3.4809058,0.43338743,46.70452,142.03673,0.90867996,12.555693,45.051033,-92.9701,241.51425
153.859,10.758015,39.275032,1727.25,44.117355,29.234798,1013.72,68.62745,68,14.90196,68,0,3.913042,4.931283,-1.821232E-16,56.227657,170.97353,0.93194896,12.502854,45.05095,-92.97032,243.51105
154.863,10.758015,39.275032,1727.25,44.117355,29.234798,1013.72,68.62745,68,14.90196,68,0,3.913042,4.931283,-1.821232E-16,56.227657,170.97353,0.93194896,12.502854,45.050873,-92.97056,245.05551
155.864,7.769645,48.134064,2217.75,44.117355,29.234798,1017.32,60.784313,68,16.862745,68,0,4.796377,9.282415,-1.821232E-16,77.854004,184.37517,0.95794487,12.289399,45.0508,-92.9708,245.62773
156.862,7.769645,48.134064,2217.75,44.117355,29.234798,1017.32,60.784313,68,16.862745,68,0,4.796377,9.282415,-1.821232E-16,77.854004,184.37517,0.95794487,12.289399,45.050724,-92.97107,247.89963
157.861,6.863697,46.952858,2161,47.22421,29.234798,1023.08,15.686275,64.4,9.411765,66.2,0,6.007313,8.702264,1.1056445,94.33639,229.27597,0.98497635,12.013339,45.05065,-92.97132,249.89127
158.863,14.811874,31.006605,1881.5,48.466953,29.234798,1026.14,19.607843,64.4,7.0588236,66.2,0,3.8655794,0.87022644,1.5330011,44.86507,125.238594,1.0136864,12.114851,45.050594,-92.97159,251.62215
