Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
89.992,0,11.516739,773.25,0,3.9215686,86,0,129.2,0.5127572,-8.847302,4.662258,31.667257,0,0,0,44.88644,-93.309235,-1
91.009,0,11.516739,773,0,3.9215686,86,0,129.2,0.5112623,-8.847302,4.6018662,31.26717,0,0,0,44.886436,-93.309235,-1
92.005,0,11.221438,774.75,0,3.9215686,86,0,129.2,0.50219905,-8.99234,4.6018662,31.196543,0,0,0,44.886444,-93.309235,-1
93.008,0,11.516739,770,0,3.9215686,86,0,129.2,0.51657754,-8.847302,4.7709637,32.542393,0,0,0,44.886444,-93.309235,-1
94.016,0,11.516739,775,0,3.9215686,86,0,129.2,0.5115945,-8.847302,4.6018662,31.18648,0,0,0,44.886448,-93.309235,-1
95.014,0,11.516739,772,0,3.9215686,86,0,129.2,0.5147504,-8.847302,4.6018662,31.30767,0,0,0,44.886448,-93.309235,-1
95.995,0,11.516739,775.5,0,3.9215686,86,0,129.2,0.5130894,-8.847302,4.6018662,31.166372,0,0,0,44.88645,-93.309235,-1
96.994,0,11.516739,775.5,0,3.9215686,86,0,129.2,0.51391995,-8.847302,4.662258,31.57538,0,0,0,44.88645,-93.309235,-1
97.995,0,11.516739,775.75,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.72265,31.974081,0,0,0,44.886448,-93.30923,-1
98.996,0,11.81204,773,0,3.9215686,86,0,129.2,0.5265863,-8.702264,4.6018662,31.26717,0,0,0,44.886448,-93.30923,-1
100.015,0,11.516739,778.5,0,3.9215686,86,0,129.2,0.5145843,-8.847302,4.432769,29.905464,0,0,0,44.886444,-93.30922,-1
101.016,0,11.516739,782,0,3.5294118,86,0,129.2,0.514086,-8.847302,4.5414743,30.501709,0,0,0,44.88644,-93.30922,-1
102.001,0,11.516739,777.25,0,3.9215686,86,0,129.2,0.5122589,-8.847302,4.662258,31.504288,0,0,0,44.88644,-93.30921,-1
103.015,0,11.516739,768.25,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.662258,31.873358,0,0,0,44.88644,-93.30922,-1
104.010,0,11.81204,777.75,0,3.5294118,86,0,129.2,0.52351975,-8.702264,4.6018662,31.07621,0,0,0,44.886436,-93.30922,-1
104.998,0,11.81204,773,0,3.9215686,86,0,129.2,0.5281195,-8.702264,4.6018662,31.26717,0,0,0,44.886433,-93.30922,-1
105.999,0,11.516739,778.25,0,3.9215686,86,0,129.2,0.5135877,-8.847302,4.7709637,32.19742,0,0,0,44.88643,-93.30922,-1
106.994,0,11.516739,774,0,3.9215686,86,0,129.2,0.5180725,-8.847302,4.662258,31.636574,0,0,0,44.886425,-93.30922,-1
107.992,0,11.516739,778.25,0,3.9215686,86,0,129.2,0.5130894,-8.847302,4.6018662,31.056244,0,0,0,44.88642,-93.30923,-1
109.019,0,11.516739,779.25,0,3.5294118,86,0,129.2,0.5119267,-8.847302,4.72265,31.83047,0,0,0,44.88642,-93.30923,-1
109.997,0,11.516739,776.25,0,3.9215686,86,0,129.2,0.51607925,-8.847302,4.72265,31.953485,0,0,0,44.88642,-93.30923,-1
111.013,0,11.516739,776.5,0,3.9215686,86,0,129.2,0.5157471,-8.847302,4.5414743,30.717754,0,0,0,44.886417,-93.309235,-1
112.014,0,11.516739,771,0,3.9215686,86,0,129.2,0.512425,-8.847302,4.5414743,30.936884,0,0,0,44.886417,-93.30924,-1
113.019,0,11.221438,778.25,0,3.9215686,86,0,129.2,0.50138986,-8.99234,4.5414743,30.648682,0,0,0,44.886417,-93.30924,-1
113.998,0,11.516739,776.5,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.72265,31.943197,0,0,0,44.886414,-93.30924,-1
114.994,0,11.516739,775.25,0,3.9215686,86,0,129.2,0.5152487,-8.847302,4.662258,31.585562,0,0,0,44.886417,-93.30924,-1
115.996,0,11.516739,773,0,3.9215686,86,0,129.2,0.51508266,-8.847302,4.5414743,30.85684,0,0,0,44.886417,-93.30924,-1
117.003,0,11.516739,776.75,0,3.9215686,86,0,129.2,0.51491654,-8.847302,4.432769,29.97284,0,0,0,44.886417,-93.30924,-1
118.004,0,11.516739,780.5,0,3.5294118,86,0,129.2,0.51026565,-8.847302,4.72265,31.779491,0,0,0,44.886417,-93.30924,-1
119.011,0,11.516739,775,0,3.9215686,86,0,129.2,0.514086,-8.847302,4.72265,32.005024,0,0,0,44.88642,-93.30924,-1
120.003,0,11.516739,777.5,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.662258,31.494158,0,0,0,44.886417,-93.30924,-1
120.994,0,11.516739,775.25,0,3.9215686,86,0,129.2,0.5157471,-8.847302,4.662258,31.585562,0,0,0,44.886414,-93.30925,-1
122.008,0,11.516739,778.5,0,3.9215686,86,0,129.2,0.51508266,-8.847302,4.5414743,30.63884,0,0,0,44.88641,-93.30925,-1
123.004,0,9.449632,746.25,0,3.137255,86,0,129.2,0.4350342,-9.862566,3.3577921,23.632166,0,0,0,44.886402,-93.30926,-1
124.010,0,8.563729,773,0,3.137255,86,0,129.2,0.38177505,-10.297679,3.3577921,22.814365,0,0,0,44.886406,-93.30926,-1
125.020,0,9.154331,729.25,0,3.137255,86,0,129.2,0.39476934,-10.007604,3.3940272,24.444038,0,0,0,44.886406,-93.30926,-1
126.005,0,9.449632,728.5,0,3.137255,86,0,129.2,0.39755476,-9.862566,3.3577921,24.207968,0,0,0,44.88641,-93.30926,-1
127.019,0,8.85903,713.75,0,3.137255,86,0,129.2,0.36504132,-10.152641,3.3336353,24.53048,0,0,0,44.886406,-93.30926,-1
127.994,0,9.449632,707,0,3.137255,86,0,129.2,0.38256297,-9.862566,3.285322,24.405773,0,0,0,44.88641,-93.309265,-1
128.994,0,12.107341,789.75,0,3.9215686,86,0,129.2,0.49766746,-8.557226,6.848447,45.54456,0,0,0,44.886414,-93.309265,-1
130.005,0,11.516739,784.75,0,3.9215686,86,0,129.2,0.51491654,-8.847302,4.72265,31.607382,0,0,0,44.886414,-93.30926,-1
131.002,0,11.81204,781,0,3.9215686,86,0,129.2,0.53476363,-8.702264,4.662258,31.353018,0,0,0,44.886417,-93.30926,-1
132.000,0,11.516739,784.75,0,3.9215686,86,0,129.2,0.520564,-8.847302,4.72265,31.607382,0,0,0,44.88642,-93.30926,-1
133.010,0,11.516739,783.75,0,3.9215686,86,0,129.2,0.5190691,-8.847302,4.6018662,30.838306,0,0,0,44.886425,-93.309265,-1
134.003,0,11.516739,781.25,0,3.9215686,86,0,129.2,0.5190691,-8.847302,4.4810824,30.124994,0,0,0,44.88643,-93.30925,-1
135.007,0,11.516739,778,0,3.9215686,86,0,129.2,0.51724195,-8.847302,4.4810824,30.250837,0,0,0,44.886425,-93.30925,-1
136.008,0,11.516739,774.5,0,3.9215686,86,0,129.2,0.5169098,-8.847302,4.662258,31.61615,0,0,0,44.88642,-93.30925,-1
137.011,0,11.516739,774.75,0,3.9215686,86,0,129.2,0.5119267,-8.847302,4.6018662,31.196543,0,0,0,44.886425,-93.30924,-1
138.004,0,11.516739,776.5,0,3.9215686,86,0,129.2,0.5152487,-8.847302,4.4810824,30.309275,0,0,0,44.886425,-93.30924,-1
139.019,0,11.516739,780.5,0,3.5294118,86,0,129.2,0.51325554,-8.847302,4.5414743,30.56033,0,0,0,44.88642,-93.309235,-1
140.010,0,11.81204,771.25,0,3.9215686,86,0,129.2,0.52675664,-8.702264,4.5414743,30.926855,0,0,0,44.886417,-93.309235,-1
141.005,0,11.516739,773,0,3.9215686,86,0,129.2,0.512425,-8.847302,4.662258,31.6775,0,0,0,44.88642,-93.309235,-1
142.003,0,11.81204,774.75,0,3.9215686,86,0,129.2,0.5257345,-8.702264,4.6018662,31.196543,0,0,0,44.88642,-93.30925,-1
143.004,0,11.81204,772.25,0,3.9215686,86,0,129.2,0.5274381,-8.702264,4.6018662,31.297537,0,0,0,44.886425,-93.30925,-1
144.006,0,11.81204,768.5,0,3.9215686,86,0,129.2,0.5281195,-8.702264,4.6018662,31.450256,0,0,0,44.886425,-93.30924,-1
145.013,0,11.516739,771.25,0,3.9215686,86,0,129.2,0.51541483,-8.847302,4.4810824,30.515593,0,0,0,44.88643,-93.30925,-1
146.013,0,11.516739,771.25,0,3.9215686,86,0,129.2,0.51774025,-8.847302,4.5414743,30.926855,0,0,0,44.88643,-93.30925,-1
147.016,0,11.81204,775.75,0,3.9215686,86,0,129.2,0.5255641,-8.702264,4.662258,31.565205,0,0,0,44.88643,-93.30925,-1
148.020,0,11.516739,772.75,0,3.9215686,86,0,129.2,0.51774025,-8.847302,4.662258,31.687748,0,0,0,44.886433,-93.30924,-1
149.016,0,11.81204,773.75,0,3.9215686,86,0,129.2,0.5274381,-8.702264,4.6018662,31.236862,0,0,0,44.886425,-93.30925,-1
150.002,0,11.81204,776.75,0,3.9215686,86,0,129.2,0.52880096,-8.702264,4.5414743,30.707869,0,0,0,44.886425,-93.30925,-1
150.992,0,11.516739,774,0,3.9215686,86,0,129.2,0.51607925,-8.847302,4.72265,32.04637,0,0,0,44.88642,-93.30925,-1
152.000,0,11.516739,774,0,3.9215686,86,0,129.2,0.51607925,-8.847302,4.72265,32.04637,0,0,0,44.88642,-93.30926,-1
153.002,0,11.516739,773.75,0,3.9215686,86,0,129.2,0.51607925,-8.847302,4.662258,31.646795,0,0,0,44.886425,-93.30925,-1
154.017,0,11.81204,768.75,0,3.9215686,86,0,131,0.525053,-8.702264,4.662258,31.852627,0,0,0,44.886425,-93.30924,-1
155.012,0,11.516739,774,0,3.9215686,86,0,131,0.510764,-8.847302,4.662258,31.636574,0,0,0,44.88643,-93.30924,-1
155.996,0,11.516739,775.5,0,3.9215686,86,0,131,0.5142521,-8.847302,4.662258,31.57538,0,0,0,44.88643,-93.30924,-1
157.006,0,11.81204,774.25,0,3.9215686,86,0,131,0.52590483,-8.702264,4.72265,32.036026,0,0,0,44.88643,-93.30924,-1
158.005,0,11.81204,775.25,0,3.9215686,86,0,131,0.52709734,-8.702264,4.662258,31.585562,0,0,0,44.88643,-93.309235,-1
