# StartTime = 08/06/2024 06:26:12.0367 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
42.010,13.96,14.17,3859.50,60.89,29.53,735.62,10.20,60.80,6.67,62.60,0.00,3.66,-7.54,2.33,59.79,81.37,0.26,6.57,45.03,-92.99,281.58
43.004,24.18,16.24,3269.75,60.89,29.53,741.56,7.45,60.80,12.16,62.60,0.00,3.62,-6.53,0.95,34.53,55.47,0.27,6.84,45.03,-92.99,281.94
44.021,13.65,30.12,2790.75,60.89,29.53,746.96,39.61,60.80,15.69,62.60,0.00,5.68,0.29,-0.00,61.16,115.10,0.28,7.00,45.04,-92.99,281.42
45.016,10.20,46.66,2613.25,61.52,29.53,753.26,68.63,60.80,24.31,62.60,0.00,7.51,8.41,0.50,82.65,166.11,0.30,7.13,45.04,-92.99,280.36
46.005,10.59,34.55,3555.00,64.00,29.53,759.74,18.82,60.80,11.76,62.60,0.00,5.21,2.47,2.03,82.87,122.43,0.32,7.29,45.04,-92.99,280.41
47.006,22.34,23.92,2954.25,65.24,29.53,763.16,14.51,60.80,9.02,62.60,0.00,4.91,-2.76,2.61,40.04,71.19,0.34,7.52,45.04,-92.99,280.48
48.001,18.78,25.99,2457.00,65.87,29.53,769.82,22.35,60.80,10.98,62.60,0.00,4.43,-1.74,1.74,48.10,102.82,0.35,7.69,45.04,-92.99,278.99
49.001,20.44,28.35,2214.00,67.11,29.53,779.72,49.41,60.80,16.08,62.60,0.00,3.61,-0.58,1.15,45.02,106.79,0.38,8.02,45.04,-92.99,279.21
50.016,12.78,34.85,2390.75,67.11,29.53,786.20,6.27,60.80,0.00,62.60,0.00,4.45,2.61,0.53,71.99,158.14,0.39,8.15,45.04,-92.99,278.62
51.002,103.61,7.09,2340.00,67.11,29.53,791.60,5.88,60.80,4.71,62.60,0.00,0.98,-11.02,0.00,8.88,19.93,0.41,8.44,45.04,-92.99,278.67
52.009,35.42,16.24,2221.25,66.49,29.53,793.94,10.59,60.80,6.67,62.60,0.00,2.19,-6.53,-0.51,25.74,60.85,0.43,8.69,45.04,-92.99,278.62
53.007,30.89,25.99,2232.00,66.49,29.53,800.60,16.47,60.80,9.41,62.60,0.00,3.30,-1.74,0.00,29.51,69.44,0.46,9.14,45.04,-92.99,278.25
