Time (sec),Instant fuel economy (MPG),Intake manifold absolute pressure (inHg),Engine RPM (RPM),Vehicle speed (MPH),Relative throttle position (%),Ambient air temperature (°F),Fuel type,Relative accelerator pedal position (%),Mass air flow rate (lb/min),Boost (psi),Engine Power (hp),Trip Distance (miles),Trip Fuel Economy (MPG),Hard Brake Count,Latitude (deg),Longitude (deg),Bearing (deg)
62.006,7.4120502,42.523342,3221.25,67.72946,22.745098,69.8,1,17.254902,9.314802,6.3816605,125.2887,0.30876735,6.8374963,0,45.035095,-92.98997,280.38675
63.015,8.869356,49.315266,2631.75,68.972206,68.62745,69.8,1,23.137255,9.164556,9.717528,106.62392,0.32174712,6.8864403,0,45.035152,-92.99037,280.41016
64.008,39.610073,11.516739,2418.5,70.83632,10.196078,69.8,1,7.45098,1.7678248,-8.847302,24.52014,0.3506802,7.1870127,0,45.035194,-92.99077,280.48328
65.001,33.38603,22.738176,2172.0,70.21494,18.039215,69.8,1,11.372549,3.1725416,-3.335868,28.836163,0.36407325,7.403618,0,45.03524,-92.991165,278.71725
65.995,19.448645,31.301907,2177.0,70.21494,13.725491,69.8,1,7.0588236,3.9222586,0.87022644,49.500877,0.37808362,7.5808415,0,45.035286,-92.99156,279.21066
67.002,22.592094,24.509983,2140.0,70.21494,9.411765,69.8,1,0.0,3.0259545,-2.4656415,42.613354,0.40229493,7.9401555,0,45.03533,-92.99196,278.6579
67.996,84.770096,21.556973,2136.75,70.21494,14.509804,69.8,1,8.627451,2.6613817,-3.916019,11.356894,0.41372973,8.144179,0,45.035374,-92.992355,278.67154
68.996,23.705572,32.48311,2210.5,69.593575,39.215687,69.8,1,14.90196,3.9953094,1.4503773,40.252357,0.44343194,8.535426,0,45.035416,-92.992744,278.24863
69.993,40.376072,22.442877,2171.0,70.21494,14.90196,69.8,1,11.372549,2.8620331,-3.4809058,23.843946,0.45862317,8.769102,0,45.03546,-92.99314,278.59677
70.998,38.385136,17.127459,2130.5,70.21494,11.764706,69.8,1,9.019608,2.1651623,-6.091585,25.080671,0.4843192,9.095245,0,45.035507,-92.99354,278.6447
72.03,28.536386,26.87239,2156.5,70.21494,15.686275,69.8,1,11.372549,3.302885,-1.3053397,33.736748,0.49932772,9.286098,0,45.035545,-92.99394,279.15878
72.996,23.621231,30.120703,2176.0,70.21494,15.686275,69.8,1,9.803922,3.7473147,0.29007548,40.75676,0.51458174,9.442872,0,45.03559,-92.99433,278.66272
74.002,36.819008,19.785168,2131.0,70.21494,9.019608,69.8,1,7.0588236,2.4711735,-4.7862453,26.147497,0.5431448,9.809285,0,45.035637,-92.994736,278.7004
75.002,29.246494,25.691187,2148.0,70.21494,14.90196,69.8,1,0.0,3.1584444,-1.8854905,32.917618,0.5553526,9.957577,0,45.035686,-92.995155,278.2254
76.001,68.45272,14.469749,2120.5,70.21494,13.725491,69.8,1,8.235294,1.793085,-7.3969245,14.064085,0.5721188,10.211489,0,45.03572,-92.99553,278.82883
77.008,51.23762,19.194565,2142.75,70.21494,9.803922,69.8,1,0.39215687,2.3802433,-5.0763206,18.789415,0.6005271,10.590687,0,45.03576,-92.995926,278.5273
78.01,32.778996,21.261671,2115.5,69.593575,9.411765,69.8,1,0.0,2.6282976,-4.0610566,29.110262,0.61384314,10.732547,0,45.0358,-92.99632,279.13245
79.007,98.53958,8.268428,2088.75,69.593575,10.980392,69.8,1,9.803922,1.0091171,-10.442718,9.683472,0.63086736,11.00064,0,45.035847,-92.99671,278.79138
80.005,23.382326,31.301907,2180.0,69.593575,22.745098,69.8,1,11.764706,3.9051032,0.87022644,40.808826,0.65789264,11.280071,0,45.03589,-92.99711,278.4432
81.005,21.83156,28.348896,2179.0,70.21494,11.372549,69.8,1,0.0,3.5653179,-0.58015096,44.09785,0.67112315,11.379743,0,45.035927,-92.997505,278.65182
81.999,28.837347,27.167692,2172.25,70.21494,16.470589,69.8,1,10.196078,3.347409,-1.1603019,33.384655,0.6974695,11.710063,0,45.035973,-92.9979,278.62405
83.075,27.384111,25.395885,2134.25,70.21494,6.6666665,69.8,1,5.098039,3.182576,-2.0305283,35.156334,0.7100702,11.83034,0,45.03602,-92.9983,278.78192
84.102,25.726072,29.825401,2203.0,70.21494,20.0,69.8,1,5.882353,3.7062747,0.14503774,37.42215,0.74118155,12.156192,0,45.03606,-92.998695,278.74704
85.009,51.25841,15.946254,2147.5,70.83632,14.90196,69.8,1,11.372549,2.0266502,-6.671736,18.948004,0.7537874,12.30808,0,45.036102,-92.9991,278.45798
86.0,22.2797,30.416002,2248.5,70.83632,24.313726,69.8,1,12.941176,3.7682605,0.43511322,43.593254,0.76891434,12.426617,0,45.036144,-92.999504,278.44672
87.002,102.41153,9.449632,2178.5,72.079056,9.019608,69.8,1,6.27451,1.226055,-9.862566,9.650125,0.79855466,12.71217,0,45.03619,-92.99991,278.4433
88.009,38.822235,20.375769,2182.5,72.079056,9.803922,69.8,1,0.0,2.560809,-4.49617,25.456648,0.8104925,12.840441,0,45.036236,-93.00031,278.67712
88.997,38.822235,20.375769,2182.5,72.079056,9.803922,69.8,1,0.0,2.560809,-4.49617,25.456648,0.8104925,12.840441,0,45.036278,-93.000725,278.7778
89.994,80.70267,19.194565,2211.5,72.079056,16.470589,69.8,1,3.137255,2.4167857,-5.0763206,12.245989,0.8241931,13.02189,0,45.03632,-93.00113,278.76828
90.997,17.591211,18.308662,2250.0,72.70043,6.6666665,69.8,1,0.0,2.3358727,-5.511434,56.66487,0.8664183,13.162522,0,45.036354,-93.00153,278.54462
92.023,38.41649,18.013361,2206.25,72.70043,8.235294,69.8,1,0.0,2.3382065,-5.6564717,25.947287,0.8882527,13.387176,0,45.036407,-93.00195,278.53247
93.002,102.02467,6.791923,2191.75,72.70043,5.098039,69.8,1,5.098039,0.86447626,-11.167906,9.770222,0.9034957,13.587918,0,45.036453,-93.002365,278.7686
94.004,135.31377,5.90602,2155.0,72.079056,5.882353,69.8,1,7.0588236,0.7412413,-11.603019,7.3036466,0.9344268,13.970873,0,45.036495,-93.00276,279.18076
95.008,40.66075,16.536856,2161.0,71.45769,5.882353,69.8,1,1.9607843,2.0559182,-6.3816605,24.09607,0.9508533,14.134953,0,45.03654,-93.00317,278.47372
96.004,66.21237,13.583846,2147.25,71.45769,10.980392,69.8,1,7.45098,1.6985857,-7.832038,14.7973,0.9778766,14.427886,0,45.036583,-93.00357,278.47372
97.005,34.6931,23.32878,2158.5,71.45769,13.333333,69.8,1,8.235294,2.8898828,-3.0457926,28.240898,0.98984665,14.530227,0,45.036625,-93.003975,278.26376
97.997,33.64787,23.91938,2180.0,71.45769,7.8431373,69.8,1,6.6666665,2.9961627,-2.755717,29.11817,1.017819,14.759034,0,45.03667,-93.00438,278.71725
99.016,30.10861,23.62408,2192.75,71.45769,17.254902,69.8,1,11.764706,2.9710982,-2.9007547,32.541,1.0315963,14.8653555,0,45.036716,-93.00478,278.8664
100.006,85.38326,8.563729,2173.5,72.079056,9.019608,69.8,1,7.0588236,1.086657,-10.297679,11.574681,1.0591011,15.132019,0,45.03676,-93.00519,278.8127
101.017,28.985071,25.100586,2197.0,71.45769,10.196078,69.8,1,0.0,3.1473794,-2.175566,33.802376,1.0709808,15.2087965,0,45.036808,-93.00559,278.60022
102.001,38.719887,19.194565,2223.0,71.45769,20.0,69.8,1,11.764706,2.4328423,-5.0763206,25.303904,1.0867947,15.355615,0,45.03685,-93.006,278.49203
103.011,28.936157,25.986488,2198.0,71.45769,14.90196,69.8,1,9.411765,3.3349214,-1.7404529,33.859516,1.1169078,15.524866,0,45.036892,-93.0064,278.55518
104.003,52.101437,14.76505,2167.5,71.45769,12.54902,69.8,1,7.0588236,1.8722689,-7.251887,18.804937,1.130975,15.6566,0,45.036934,-93.006805,277.91742
105.002,32.13638,24.805285,2166.75,71.45769,8.627451,69.8,1,10.588235,3.1203687,-2.3206038,30.4877,1.1578507,15.851242,0,45.036976,-93.00722,278.29803
106.012,24.609549,25.691187,2194.25,71.45769,7.8431373,69.8,1,0.0,3.211431,-1.8854905,39.812363,1.1716912,15.916371,0,45.037018,-93.007614,278.7172
107.008,36.426067,23.033478,2183.5,70.83632,14.117647,69.8,1,9.019608,2.9157565,-3.1908302,26.663448,1.1885132,16.044714,0,45.03706,-93.00802,278.4534
108.003,55.49809,15.355652,2147.5,70.83632,10.980392,69.8,1,9.019608,1.9250127,-6.9618115,17.500505,1.2157202,16.259655,0,45.037106,-93.00842,278.298
109.0,30.08267,25.986488,2180.0,70.83632,15.294118,69.8,1,7.0588236,3.2194848,-1.7404529,32.28585,1.2292693,16.341944,0,45.03715,-93.00882,278.2319
110.002,30.273281,25.691187,2168.75,70.83632,14.90196,69.8,1,9.411765,3.1743774,-1.8854905,32.08257,1.2534815,16.526306,0,45.03719,-93.009224,277.65836
111.002,30.49768,27.758293,2178.0,70.83632,14.509804,69.8,1,0.0,3.4730246,-0.87022644,31.846508,1.265501,16.595184,0,45.037186,-93.00965,276.9931
112.002,30.49768,27.758293,2178.0,70.83632,14.509804,69.8,1,0.0,3.4730246,-0.87022644,31.846508,1.265501,16.595184,0,45.03725,-93.01003,276.27826
112.996,47.26897,25.691187,2171.0,70.21494,16.862745,69.8,1,0.0,3.228105,-1.8854905,20.366953,1.2823477,16.737713,0,45.037285,-93.01043,275.71606
114.012,47.26897,25.691187,2171.0,70.21494,16.862745,69.8,1,0.0,3.228105,-1.8854905,20.366953,1.2823477,16.737713,0,45.037296,-93.010796,275.82004
115.0,23.669191,29.5301,2205.25,70.21494,13.725491,69.8,1,10.196078,3.6985402,0.0,40.67418,1.318266,16.837353,0,45.03734,-93.01122,275.36557
115.999,23.669191,29.5301,2205.25,70.21494,13.725491,69.8,1,10.196078,3.6985402,0.0,40.67418,1.318266,16.837353,0,45.03736,-93.011635,273.85236
116.998,23.669191,29.5301,2205.25,70.21494,13.725491,69.8,1,10.196078,3.6985402,0.0,40.67418,1.318266,16.837353,0,45.03738,-93.012024,273.9197
117.997,18.181746,23.91938,2189.25,70.21494,10.980392,69.8,1,7.45098,3.04308,-2.755717,52.95008,1.3659703,16.878763,0,45.037403,-93.01243,273.4261
119.013,18.181746,23.91938,2189.25,70.21494,10.980392,69.8,1,7.45098,3.04308,-2.755717,52.95008,1.3659703,16.878763,0,45.037426,-93.012825,273.24915
120.008,19.545475,33.959614,2178.5,70.21494,11.764706,69.8,1,10.196078,4.289076,2.175566,49.255642,1.412671,16.95489,0,45.03744,-93.01323,272.761
121.005,19.545475,33.959614,2178.5,70.21494,11.764706,69.8,1,10.196078,4.289076,2.175566,49.255642,1.412671,16.95489,0,45.037453,-93.01363,272.51114
122.001,24.795624,12.993244,2146.5,70.21494,14.509804,69.8,1,9.019608,1.6329796,-8.122113,38.826405,1.4644529,17.145153,0,45.03746,-93.01403,271.71655
123.013,24.107838,28.939499,2176.0,69.593575,20.0,69.8,1,11.372549,3.5344143,-0.29007548,39.580708,1.504925,17.402786,0,45.037468,-93.01443,271.51175
124.002,42.201565,15.946254,2130.0,69.593575,14.117647,69.8,1,9.411765,2.0018115,-6.671736,22.610659,1.5170515,17.481699,0,45.03747,-93.014824,270.90118
125.016,21.004967,33.07371,2219.25,69.593575,18.431372,69.8,1,0.0,4.1576295,1.7404529,45.427597,1.5471994,17.572535,0,45.03747,-93.01523,270.0
126.002,35.611565,23.62408,2162.5,69.593575,15.686275,69.8,1,10.588235,3.0245917,-2.9007547,26.794811,1.5608848,17.654087,0,45.037468,-93.015625,269.20685
127.008,18.391672,32.77841,2219.75,69.593575,23.529411,69.8,1,12.54902,4.089306,1.5954151,51.88246,1.5729028,17.645702,0,45.037468,-93.01602,268.9428
128.003,41.609688,17.71806,2133.0,70.21494,10.588235,69.8,1,9.803922,2.2083914,-5.8015094,23.137037,1.6024468,17.839703,0,45.037464,-93.01642,269.21793
129.019,25.845934,28.348896,2189.25,69.593575,20.0,69.8,1,11.372549,3.488451,-0.58015096,36.91897,1.6153245,17.885592,0,45.037457,-93.01682,268.90198
129.998,30.743702,24.805285,2142.0,70.21494,8.235294,69.8,1,8.235294,3.0860238,-2.3206038,31.31454,1.6415757,17.990993,0,45.037453,-93.01723,268.90198
131.013,25.828024,26.87239,2187.5,69.593575,20.0,69.8,1,11.372549,3.3207133,-1.3053397,36.94457,1.6553496,18.038277,0,45.03745,-93.01762,268.962
132.006,22.344486,28.348896,2194.25,69.593575,17.647058,69.8,1,10.588235,3.5227957,-0.58015096,42.70428,1.6847452,18.112097,0,45.037445,-93.01802,268.8656
